depth,thickness
8077.37,4.59
8080.54,3.16
8083.55,3.01
8088.14,4.59
8091.31,3.16
8095.90,4.59
8102.30,6.40
8105.84,3.54
8109.01,3.16
8115.64,6.63
8120.68,5.05
8127.01,6.33
8133.46,6.45
8148.72,15.26
8156.50,7.78
8170.96,14.46
8208.39,37.44
8214.64,6.25
8218.56,3.92
8221.58,3.01
8224.59,3.01
8225.57,0.98
8228.21,2.64
8230.09,1.88
8231.67,1.58
8234.01,2.33
8235.89,1.88
8240.41,4.52
8244.55,4.14
8247.86,3.31
8251.78,3.92
8254.34,2.56
8257.96,3.62
8261.95,3.99
8266.32,4.37
8272.65,6.33
8275.66,3.01
8279.05,3.39
8282.06,3.01
8285.30,3.24
8291.10,5.80
8296.00,4.90
8299.16,3.16
8303.23,4.07
8307.37,4.14
8310.53,3.16
8314.60,4.07
8320.02,5.42
8323.64,3.62
8328.69,5.05
8334.11,5.42
8338.63,4.52
8342.62,3.99
8346.24,3.62
8351.88,5.65
8357.91,6.03
8359.12,1.21
8362.51,3.39
8366.65,4.14
8369.81,3.16
8374.63,4.82
8383.14,8.51
8397.98,14.84
8404.53,6.55
8408.07,3.54
8413.80,5.72
8416.36,2.56
8421.18,4.82
8425.17,3.99
8429.84,4.67
8433.84,3.99
8438.35,4.52
8441.67,3.31
8445.59,3.92
8455.53,9.94
8459.29,3.77
8463.74,4.44
8470.97,7.23
8473.61,2.64
8475.56,1.96
8479.63,4.07
8483.70,4.07
8488.22,4.52
8494.54,6.33
8499.52,4.97
8505.09,5.57
8509.08,3.99
8512.10,3.01
8515.79,3.69
8520.68,4.90
8533.94,13.26
8538.46,4.52
8542.07,3.62
8546.44,4.37
8550.51,4.07
8553.22,2.71
8555.10,1.88
8557.36,2.26
8559.77,2.41
8563.62,3.84
8567.61,3.99
8573.48,5.88
8596.23,22.75
8598.49,2.26
8601.20,2.71
8604.44,3.24
8607.90,3.46
8611.44,3.54
8616.12,4.67
8620.18,4.07
8622.37,2.18
8624.70,2.34
8627.79,3.09
8629.60,1.81
8633.21,3.62
8636.00,2.79
8639.24,3.24
8641.42,2.18
8644.66,3.24
8651.22,6.55
8654.08,2.86
8658.07,3.99
8662.51,4.44
8666.35,3.84
8672.08,5.72
8675.17,3.09
8677.95,2.79
8680.74,2.79
8685.71,4.97
8690.61,4.90
8693.77,3.16
8697.01,3.24
8701.08,4.07
8704.24,3.16
8707.33,3.09
8712.23,4.90
8718.10,5.88
8722.62,4.52
8725.86,3.24
8728.65,2.79
8732.34,3.69
8736.40,4.07
8742.28,5.88
8745.07,2.79
8747.55,2.49
8750.87,3.31
8754.48,3.62
8757.95,3.46
8762.84,4.90
8766.99,4.14
8770.07,3.09
8773.84,3.77
8777.42,3.58
8780.10,2.68
8784.12,4.02
8786.81,2.68
8789.04,2.24
8791.28,2.24
8794.85,3.58
8797.98,3.13
8802.01,4.02
8805.58,3.58
8809.61,4.02
8814.08,4.47
8817.66,3.58
8824.36,6.71
8826.60,2.24
8829.28,2.68
8832.41,3.13
8836.44,4.02
8841.80,5.37
8848.96,7.15
8852.08,3.13
8855.66,3.58
8858.34,2.68
8865.50,7.15
8869.52,4.02
8873.55,4.02
8878.46,4.92
8882.49,4.02
8887.41,4.92
8893.67,6.26
8899.93,6.26
8905.74,5.81
8909.76,4.02
8912.89,3.13
8919.15,6.26
8924.52,5.37
8931.67,7.15
8936.14,4.47
8939.72,3.58
8945.08,5.37
8949.56,4.47
8958.05,8.50
8962.08,4.02
8966.55,4.47
8972.81,6.26
8978.62,5.81
9006.62,28.00
9010.37,3.75
9019.31,8.94
9023.78,4.47
9025.57,1.79
9028.25,2.68
9030.48,2.24
9033.61,3.13
9035.40,1.79
9037.64,2.24
9042.56,4.92
9046.58,4.02
9049.71,3.13
9054.18,4.47
9060.44,6.26
9069.83,9.39
9072.51,2.68
9076.09,3.58
9081.90,5.81
9086.37,4.47
9091.74,5.37
9094.87,3.13
9100.68,5.81
9106.49,5.81
9111.41,4.92
9118.57,7.15
9122.94,4.37
9173.36,50.42
9183.86,10.50
9186.08,2.24
9190.10,4.02
9191.89,1.79
9194.13,2.24
9196.81,2.68
9198.60,1.79
9201.28,2.68
9202.62,1.34
9204.41,1.79
9207.54,3.13
9208.88,1.34
9210.22,1.34
9211.12,0.89
9212.46,1.34
9214.70,2.24
9217.83,3.13
9220.51,2.68
